ID,Style,Category,Title,Year,Image URL,Is painting,Face/body,Ave. art rating,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral
58c6237dedc2c9c7dc0de1ae,Modern Art,Impressionism,In the Luxembourg Garden,1889,https://use2-uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,yes,face,2.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
577280dfedc2cb3880f28e76,Modern Art,Neo-Expressionism,The Marriage of Heaven and Hell,1984,https://use2-uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,yes,body,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57727f2dedc2cb3880ed5fa9,Modern Art,Post-Impressionism,Uncle Piacsek in front of the Black Sideboard,1906,https://use2-uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,yes,face,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58d1240cedc2c94f900fc610,Modern Art,Cubism,Monk. For the Play &#39;Mazeppa&#39;,1920,https://use2-uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,yes,face,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57727de7edc2cb3880e91f26,Post Renaissance Art,Romanticism,The Defence of Sarago&#231;a,1828,https://use2-uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,yes,face,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728297edc2cb3880f81f5b,Modern Art,Expressionism,"In a Village Near Paris (Street in Paris, Pink Sky)",1909,https://use2-uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,yes,face,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5772797dedc2cb3880db5504,Post Renaissance Art,Realism,Last Supper,1863,https://use2-uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,yes,face,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57726e48edc2cb3880b69b14,Post Renaissance Art,Realism,Spring,1857,https://use2-uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,yes,face,2.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57728255edc2cb3880f7644a,Contemporary Art,Minimalism,Mirror and Crushed Shells,1969,https://use2-uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,yes,none,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772843bedc2cb3880fd334d,Contemporary Art,Minimalism,One Ton Prop (House of Cards),1969,https://use2-uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,no,none,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577285b4edc2cb388001c741,Modern Art,Pop Art,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",1970,https://use2-uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,yes,none,2.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5772898cedc2cb38800df3fd,Post Renaissance Art,Rococo,Admiral John Forbes (1714â1796),1778,https://use2-uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg,yes,face,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5772849eedc2cb3880fe72ab,Modern Art,Color Field Painting,Untitled,1968,https://use2-uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg,yes,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577282b3edc2cb3880f89e19,Modern Art,Color Field Painting,Toile d&#233;coup&#233;e,1976,https://use2-uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg,yes,none,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577284a7edc2cb3880fe813a,Modern Art,Cubism,Dances at the Spring,1912,https://use2-uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg,yes,none,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57727ca4edc2cb3880e54008,Renaissance Art,Early Renaissance,Madonna and Child,1435,https://use2-uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg,yes,face,0.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57726ff3edc2cb3880bc56a7,Post Renaissance Art,Neoclassicism,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",1807,https://use2-uploads6.wikiart.org/images/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807.jpg,yes,face,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
577288deedc2cb38800bdf0f,Modern Art,Art Informel,Untitled,1958,https://use2-uploads7.wikiart.org/images/karl-otto-gotz/untitled-1958.jpg,yes,none,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57726e25edc2cb3880b60a8b,Modern Art,Expressionism,The Sick Child (later),1907,https://use2-uploads2.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg,yes,face,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
577288ddedc2cb38800bde1d,Contemporary Art,Minimalism,Peinture-Relief,1955,https://use2-uploads4.wikiart.org/images/herbert-zangs/peinture-relief-1955.jpg,yes,none,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577287d9edc2cb38800895a7,Modern Art,Neo-Expressionism,Self Portrait with Cloud &amp; Cigarette,1964,https://use2-uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg,yes,face,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57727dd9edc2cb3880e90d51,Post Renaissance Art,Baroque,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,1618,https://use2-uploads3.wikiart.org/images/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg,yes,face,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57726f83edc2cb3880bb117d,Post Renaissance Art,Realism,Don Quixote and Sancho Pansa Having a Rest under a Tree,1855,https://use2-uploads4.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,yes,face,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577286cdedc2cb3880056d93,Modern Art,Abstract Art,Red Rotation,1922,https://use2-uploads5.wikiart.org/images/victor-servranckx/red-rotation-1922.jpg,yes,none,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728742edc2cb388006c6c8,Modern Art,Art Informel,Opus II n&#186; 40,1961,https://use2-uploads1.wikiart.org/images/antonio-areal/opus-ii-n-40-1961.jpg,yes,none,-0.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
577284fbedc2cb3880ffab14,Modern Art,Neo-Expressionism,Planets,1974,https://use2-uploads1.wikiart.org/images/corneille/planets-1974.jpg,yes,none,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577287afedc2cb388007fc5b,Contemporary Art,Minimalism,Spazio Luce,1961,https://use2-uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg,yes,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728459edc2cb3880fdb65d,Modern Art,Lyrical Abstraction,Figure,,https://use2-uploads8.wikiart.org/images/afro/figure.jpg,yes,none,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772819cedc2cb3880f501c7,Modern Art,Surrealism,The Reaper,1938,https://use2-uploads6.wikiart.org/images/eileen-agar/the-reaper-1938.jpg,yes,none,-0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
