"","ID","Year","Ave..art.rating","face","modern","renaissance","contemporary","postrenaissance","contmodern","mean_red","mean_green","mean_blue","median_red","median_green","median_blue","per_red","per_green","sd_red","sd_green","sd_blue","per_edges","k_vals","k_edges","Benses","liked"
"1","58c6237dedc2c9c7dc0de1ae",1889,2.33,1,1,0,0,0,0,0.320666697691735,0.311066356415984,0.158155820302805,0.270588235294118,0.270588235294118,0.0823529411764706,0.405964317361782,0.393810276981209,0.237031271374329,0.21254202525119,0.170312961823991,0.133261075949367,0.924302039381153,0.559195147679325,0.342440727805281,1
"2","577280dfedc2cb3880f28e76",1984,0.7,1,1,0,0,0,0,0.634107671138631,0.618981445648435,0.605456333849329,0.83921568627451,0.819607843137255,0.803921568627451,0.341184914752288,0.333046170830251,0.352272685365984,0.353417556699135,0.357325760101774,0.296398026315789,0.846948099415205,0.493461257309942,0.338041774505264,1
"3","57727f2dedc2cb3880ed5fa9",1906,1.6,1,1,0,0,0,0,0.587195554659816,0.494351575037078,0.433642004707358,0.556862745098039,0.454901960784314,0.419607843137255,0.387539443972248,0.326263938812793,0.264255457117791,0.25037435329882,0.217605399175284,0.0416472654069168,0.955307219430757,0.74710062168972,0.293697748205959,1
"4","58d1240cedc2c94f900fc610",1920,0.82,1,1,0,0,0,0,0.801553583304667,0.658568145854833,0.452424056874212,0.87843137254902,0.709803921568627,0.431372549019608,0.419102951238072,0.344341113642351,0.175153457703545,0.160060608675063,0.134271486830353,0.068327485380117,0.89801559454191,0.730003898635478,0.386982067050792,1
"5","57727de7edc2cb3880e91f26",1828,1.69,1,0,0,0,1,0,0.388448898143328,0.327385941665484,0.263946031107535,0.333333333333333,0.23921568627451,0.172549019607843,0.396465076706415,0.334142001934875,0.294826871723793,0.263313951780461,0.219100154274904,0.0793302493966211,0.947091378385626,0.685744167337088,0.30589758091007,1
"6","57728297edc2cb3880f81f5b",1909,1.24,1,1,0,0,0,0,0.484562087366592,0.556502419955324,0.68873665922065,0.407843137254902,0.568627450980392,0.749019607843137,0.280125887725645,0.321714674911239,0.256252861551232,0.204092309206585,0.19906387207341,0.0944493670886076,0.933986286919831,0.670446202531646,0.309060988574082,1
"7","5772797dedc2cb3880db5504",1863,0.9,1,0,0,0,1,0,0.214990297303962,0.188942470086107,0.11193834466754,0.129411764705882,0.16078431372549,0.105882352941176,0.416751960477975,0.366259062913,0.210815900686886,0.0877407652521079,0.0302870875822971,0.028545019895193,0.963956098531954,0.874981852246741,0.526481779475126,1
"8","57726e48edc2cb3880b69b14",1857,2.2,1,0,0,0,1,0,0.393544969147986,0.401937469286151,0.332937846916272,0.317647058823529,0.337254901960784,0.23921568627451,0.348757439277847,0.356194827852937,0.259452889248439,0.245801865055063,0.236764376466048,0.0886121095021434,0.946120356327491,0.697908803615907,0.329747415934017,1
"9","57728255edc2cb3880f7644a",1969,0.17,0,0,0,1,0,0,0.57481072872948,0.563520738723498,0.520134087446217,0.749019607843137,0.67843137254902,0.564705882352941,0.346591900586333,0.339784409184037,0.317268586771135,0.307144072881212,0.328250930730926,0.0454456935935493,0.93983294385145,0.867616511224798,0.336598503280604,1
"11","577285b4edc2cb388001c741",1970,2.18,0,1,0,0,0,0,0.572789523629298,0.620265305825374,0.699912451988962,0.623529411764706,0.666666666666667,0.72156862745098,0.302588179544483,0.327668265535124,0.147639855751758,0.129239248133464,0.0700901179825976,0.0385760243221268,0.960144235868067,0.887001095909782,0.416648614877657,1
